Unique_Tag,Tree,Distance,Transect,Tag,Species_23,X,Y,ST_21,HT_21,Notes_21,Sumbission.Id_2021,ST_22,HT_22,Notes_2022,Quad_Notes_2022,Submission.Id_2023,Status_2022,Height_2022,Notes_22,ST_23,HT_23,Notes_2023
140286_120_2.71,140286,2,120,71,ACERUB,6,43,A,2,NA,d23b898c-7806-425e-9b40-ab359c222ff5,A,3,NA,1369a2af-574c-4f46-86e4-b29080eda188,6f5d2135-0f84-427b-976e-15c306e5e1a4,A,3,NA,A,3.5,NA
040979_120_6.95,40979,6,120,95,BETSP,5,73,A,11,NA,5112d9de-3c7b-467e-a1bf-cd8ded8c7170,A,3,Broken,21dd2782-d0ef-4832-a29d-c22fb448da45,452b5fd3-2436-407d-8d0e-b95a22a586c8,A,3,Broken,A,4,Broken top
291362_120_6.80,291362,6,120,80,ACERUB,3,75,A,3,NA,f1bdbc74-2806-4bfa-819a-63dbb43dd463,A,3,NA,54af5a21-0fda-4022-a4c9-a8145d182945,e55f806e-4978-4988-a7ed-e10085b8ed4d,A,3,NA,A,4,NA
072196_240_6.96,72196,6,240,96,BETSP,3,8,A,2,NA,62054420-f656-411a-83b7-a70e2f37e622,A,3,NA,26bd2377-27a2-4f7f-a951-0c38f0229ba5,42cce858-2da5-473b-b74c-1862d48c7a2f,A,3,NA,A,5,NA
021048_0_2.106,21048,2,0,106,BETSP,2,41,P,NA,NA,NA,A,3,Betsp,4f837319-22fa-4d09-9882-9aae446641f5,c6edf481-6ba1-4a08-9d93-a1b2e53f25ec,A,3,Betsp,A,3,NA
152236_120_2.14,152236,2,120,14,ACERUB,95,50,A,4,NA,3c3466ff-85ea-44b7-9a67-b354c8ef8292,A,3.5,NA,18b59b23-d311-46fd-97a0-8e1b9057bbbb,c417af87-7c95-476e-ab29-cc1419de5c14,A,3.5,NA,CFS,NA,NA
031421_120_6.101,31421,6,120,101,TSUCAN,92,13,P,NA,NA,NA,A,3.5,NA,8784e690-a7cb-4dda-ad60-7a63a89ca3b0,265a56d3-f906-48f5-8709-164978c678e9,A,3.5,NA,A,4,NA
072196_240_2.10,72196,2,240,10,TSUCAN,90,65,A,3,NA,7ef5b6f7-ac39-484e-afac-09e8063827b8,A,3.5,NA,be6aeaec-526c-414e-87f7-e05370c68a64,95f30cd5-1b32-4d47-877f-d8bd88692632,A,3.5,NA,A,3.5,NA
051094_120_6.66,51094,6,120,66,BETSP,89,54,A,2,NA,1e4a266c-7d87-4c43-af86-876659f249a2,A,3.5,NA,48856252-e40b-42f0-9f40-6ce0b74622c5,b8b10a00-f8e4-49af-bbe5-06fdb20fc60b,A,3.5,NA,A,5.5,NA
040979_120_6.101,40979,6,120,101,TSUCAN,89,8,P,NA,NA,NA,A,3.5,NA,21dd2782-d0ef-4832-a29d-c22fb448da45,452b5fd3-2436-407d-8d0e-b95a22a586c8,A,3.5,NA,A,4,NA
072196_120_2.107,72196,2,120,107,TSUCAN,88,7,P,NA,NA,NA,A,3.5,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,3.5,NA,A,4,NA
040979_120_2.113,40979,2,120,113,BETSP,83,54,P,NA,NA,NA,A,3.5,Betsp,f37f6c3f-6696-446e-861d-b5ee7f13f115,da694891-3c7c-4217-bd07-dd91ca2b6f33,A,3.5,Betsp,A,7,NA
