"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"627",0,Inf,NA,NA,4,1,63
"628",1,1000,15,17.5,4,2,63
"629",1,1000,37,37,5,1,63
"630",2,500,26,47.5,5,2,63
"631",2,500,28,35,1,1,64
"632",5,200,22,40,1,2,64
"633",9,111.111111111111,14,23,2,1,64
"634",151,6.62251655629139,11,27,2,2,64
"635",0,Inf,NA,NA,3,1,64
"636",11,90.9090909090909,18,27,3,2,64
"637",0,Inf,NA,NA,4,1,64
"638",0,Inf,NA,NA,4,2,64
"639",0,Inf,NA,NA,5,1,64
"640",1,1000,20,28,5,2,64
"641",1,1000,23,25.5,1,1,65
"642",5,200,26,34.5,1,2,65
"643",3,333.333333333333,15,17,2,1,65
"644",142,7.04225352112676,12,25,2,2,65
"645",0,Inf,NA,NA,3,1,65
"646",17,58.8235294117647,16,23,3,2,65
"647",0,Inf,NA,NA,4,1,65
"648",5,200,15,20,4,2,65
"649",1,1000,31,31,5,1,65
"650",3,333.333333333333,30,33,5,2,65
"651",0,Inf,NA,NA,1,1,66
"652",3,333.333333333333,22,41,1,2,66
"653",2,500,16,21,2,1,66
"654",138,7.2463768115942,11,27,2,2,66
"655",0,Inf,NA,NA,3,1,66
"656",16,62.5,17,26,3,2,66
"657",0,Inf,NA,NA,4,1,66
"658",2,500,19,20,4,2,66
"659",0,Inf,NA,NA,5,1,66
"660",0,Inf,NA,NA,5,2,66
"661",0,Inf,NA,NA,1,1,67
"662",1,1000,50,50.5,1,2,67
"663",7,142.857142857143,13,23,2,1,67
"664",151,6.62251655629139,10,29,2,2,67
"665",1,1000,22,24,3,1,67
"666",14,71.4285714285714,16,23,3,2,67
"667",0,Inf,NA,NA,4,1,67
"668",2,500,15,17,4,2,67
"669",0,Inf,NA,NA,5,1,67
"670",1,1000,35,39.5,5,2,67
